Wn,Alg5,Alg5Gel0625,Alg5Gel125,Alge5Gel250,Alg5Gel5
1490.729,0.03675004746834067,0.03376783433013956,0.005923949186171343,0.012643392369806156,0.004845002212338332
1492.658,0.03542149037514088,0.029463032983600857,0.007829906703162502,0.016887092615506052,0.008272991993322603
1494.586,0.03337707884514503,0.0273702731459268,0.009336420700130972,0.021737760650945855,0.013595405313031805
1496.515,0.030863501458399167,0.027337421433939347,0.010598376382160298,0.027178981239341787,0.020623057077125685
1498.443,0.028102793220368998,0.028905286756121272,0.011750086227501852,0.03318428372525867,0.028893580472854938
1500.372,0.025292335561888347,0.03212811151676893,0.012905289987642015,0.039717142034746966,0.03834783084419241
1502.3,0.0226048563391912,0.03663908294716337,0.014157154687287184,0.04673097467528166,0.04846956878806109
1504.229,0.02018842983382499,0.04301123300082085,0.01557827462439026,0.05416914473593851,0.05919772072040161
1506.157,0.018166476752712834,0.05043137421477065,0.017220671370136498,0.06196495988729058,0.07011719401471829
1508.086,0.016637764228168983,0.05933283307083393,0.01911579376891799,0.07004167238130007,0.0811808781964783
1510.014,0.01567640581786421,0.06902989463004497,0.021274517938381823,0.07831247905152502,0.09206091468270802
1511.943,0.016389479684832085,0.08010301192615209,0.02449272330374814,0.08765533278440678,0.10286853161102837
1513.871,0.016647591574749113,0.09179141224935053,0.027222907220548518,0.09618234642121133,0.1132479543807671
1515.8,0.01680483955353216,0.10414241244000484,0.029050336893423387,0.1032416088733512,0.1230048983853869
1517.728,0.018128350813765785,0.11590397176414298,0.0316577918864465,0.11080616854314197,0.13185047512412765
1519.657,0.020310853546776083,0.12847027196488342,0.03459652708025921,0.11831595133669226,0.14023514032593662
1521.585,0.022046249687936822,0.1411848849068051,0.03660950499662732,0.12408235099302278,0.14781672053380834
1523.514,0.026268002768128566,0.15373557716949274,0.040080420560036516,0.13137538823526218,0.1547981234877533
1525.442,0.029980947501109745,0.1662834252095374,0.04320163336233515,0.13819296110766188,0.1617288414316722
1527.371,0.03333222570856497,0.17957550842358494,0.04534577486304208,0.143731199434708,0.1685809021392875
1529.299,0.03911169147258383,0.19239913218290491,0.04916308385978873,0.15124693292229174,0.1747256901631694
1531.228,0.044737294979850475,0.2062758220049902,0.052521471041013595,0.15807884499826155,0.18086036032829672
1533.156,0.05063401767071272,0.22001322075085814,0.056114475218025546,0.16501291435540993,0.18671675030909538
1535.085,0.056214624868423393,0.23430502189725144,0.05918734074244018,0.17110795393212264,0.19239193490950787
1537.013,0.06178479435056887,0.24821606735272847,0.061597333419242804,0.1761901027416758,0.19758062691298264
1538.942,0.06808415654204628,0.26230097511967126,0.06408573727782343,0.1810409805943879,0.20232095458806185
1540.87,0.0725267849459349,0.275985239011566,0.06391154411032404,0.18127089870023338,0.205848815807108
1542.799,0.0811825522860137,0.28855652531104714,0.06647146201280546,0.18525456308375657,0.20923257657920252
1544.727,0.09065412560862908,0.3003598354695508,0.06946767597192913,0.189826422165189,0.21216765276001134
1546.656,0.1002599482294878,0.31257337188854567,0.07178303658874775,0.1931472162190316,0.2145784976931904
1548.584,0.11034986533956573,0.32393490895986415,0.07439390553154246,0.1964789087699048,0.21636165707251737
1550.513,0.12045103630912629,0.3358514649133868,0.07636242618738383,0.19857738000598713,0.21748620848425798
1552.441,0.13064474397141515,0.3470568984712219,0.07792649862868994,0.19995907290359907,0.21799923723206033
1554.37,0.14252898536391886,0.35776124985297725,0.08015325769588244,0.2019964774947658,0.21806343109104837
1556.298,0.15447819308745156,0.3684729395462172,0.0826168744475561,0.20399462103710794,0.21754840523375663
1558.227,0.16530716677123466,0.38092268357984643,0.08367170249827414,0.20371757709946645,0.21662485594940292
1560.155,0.17577456957135656,0.3926113147778279,0.08376511860647684,0.20178618883481111,0.21499021712449248
1562.084,0.1886555522271501,0.4046795944191795,0.08496316859320444,0.20076535984447924,0.2126584117279239
1564.012,0.20204687349999773,0.41789035060626567,0.08628732899263089,0.19952700451516672,0.2099861795502147
1565.941,0.21662120813297056,0.4331798879402254,0.08833247694368347,0.1991822653621915,0.20732186745241551
1567.869,0.2318644874762677,0.4503800886722348,0.09108113705867611,0.19986489110320071,0.2048787710575106
1569.798,0.2475850643602237,0.47080778866649,0.09422561582737224,0.20108045160368412,0.20297143264624634
1571.726,0.2641517593218888,0.49373985038814033,0.09856804692671312,0.20412159786181533,0.2018731544411827
1573.655,0.2809583878429403,0.520247707243221,0.10363404829316074,0.20862785791960298,0.20192163126522464
1575.583,0.29776812791267526,0.549611967006822,0.10928718949596802,0.2144774165021572,0.20318699827564862
1577.512,0.3137464659997075,0.5827217015308825,0.11481481756314876,0.22041030060248468,0.20575304914759487
1579.44,0.32814571863408193,0.617595805520673,0.11920822685425271,0.22449933781555975,0.20884407032829197
1581.369,0.34477928638795624,0.65361958503215,0.12643609213545376,0.2333906389998515,0.2137254383153111
1583.297,0.36024434646460707,0.6902276013229167,0.1336928116479748,0.24282119772148753,0.21972795622579666
1585.226,0.3749623288031177,0.727386300419223,0.14107598954380532,0.25270245877697695,0.2267042641765253
1587.154,0.3886523268690115,0.7632337162297275,0.14865889555053902,0.26324407474538275,0.23439096525730724
1589.083,0.40044665853201916,0.7985687988573461,0.15527655120192532,0.27273002735634944,0.242403429479323
1591.011,0.41141560089758816,0.8308914648125744,0.16203803068079456,0.28264307430352137,0.2506241708918313
1592.94,0.4220041436842837,0.8606979347227937,0.1690645638955654,0.2930928792369845,0.25896752969694825
1594.868,0.4302951329501516,0.8879722460695724,0.17496822239549803,0.3019846600505644,0.26684946833802736
