Wn,Alg5,Alg5Gel0625,Alg5Gel125,Alge5Gel250,Alg5Gel5
1490.729,0.07938222555338545,0.03376783433013956,0.027708059513804107,0.03534629668290013,0.014284786355476451
1492.658,0.07651246548235993,0.029463032983600857,0.036622785594650986,0.047210129073012405,0.02439171706552115
1494.586,0.07209641847349875,0.0273702731459268,0.04366919638828569,0.060770821209749776,0.04008408083244999
1496.515,0.0666669461107095,0.027337421433939347,0.04957173573198499,0.07598248210021187,0.060804092842995185
1498.443,0.06070365683258832,0.028905286756121272,0.05495862274510309,0.09277110948194915,0.08518853160653149
1500.372,0.05463290593230863,0.03212811151676893,0.060361851829385804,0.11103458982334607,0.11306301768247486
1502.3,0.048827795557690255,0.03663908294716337,0.06621719266890048,0.13064269832345024,0.1429054940607265
1504.229,0.043608174711012186,0.04301123300082085,0.0728641902301599,0.151437098912465,0.17453589413615056
1506.157,0.03924063924914698,0.05043137421477065,0.080546164762056,0.17323134425146047,0.20673037750014536
1508.086,0.03593853188359411,0.05933283307083393,0.08941021179574067,0.19581087573207073,0.23935004575095312
1510.014,0.033861942180405266,0.06902989463004497,0.09950720214485086,0.21893302347707208,0.27142825540579885
1511.943,0.0354022229267807,0.08010301192615209,0.11455969888121204,0.24505222236360022,0.30329294649711136
1513.871,0.03595975951992539,0.09179141224935053,0.1273295752040755,0.2688906309971409,0.3338951692125737
1515.8,0.03629942423819067,0.10414241244000484,0.13587700337099967,0.2886257446199429,0.3626621035667841
1517.728,0.0391582850185154,0.11590397176414298,0.14807284027907142,0.30977348428848767,0.3887420037125675
1519.657,0.0438726170033096,0.12847027196488342,0.16181817250365443,0.3307680878633063,0.413462973037416
1521.585,0.04762117292070735,0.1411848849068051,0.1712334645924019,0.3468888303889895,0.43581616272854873
1523.514,0.05674040346132609,0.15373557716949274,0.18746796154298886,0.36727749274666854,0.45639981682980546
1525.442,0.064760578578506,0.1662834252095374,0.20206679542279662,0.3863369307801357,0.4768340335298153
1527.371,0.07199953310735488,0.17957550842358494,0.21209557832429238,0.401819817752454,0.49703634077619313
1529.299,0.08448351303289509,0.19239913218290491,0.22995025964251542,0.42283105728941184,0.5151533570898925
1531.228,0.09663514159534713,0.2062758220049902,0.24565842812326444,0.4419305824868901,0.5332405423644407
1533.156,0.10937240325671085,0.22001322075085814,0.26246396956889195,0.46131570204569494,0.5505072588742947
1535.085,0.12142683719112006,0.23430502189725144,0.2768366689544897,0.47835520148312394,0.5672397176001818
1537.013,0.1334587250569297,0.24821606735272847,0.28810891630471336,0.4925630291258144,0.5825378234597113
1538.942,0.14706571129979418,0.26230097511967126,0.2997479159046565,0.506124307834837,0.596513992122961
1540.87,0.15666204529939448,0.275985239011566,0.2989331630260805,0.5067670746923612,0.6069153792838398
1542.799,0.17535900279093777,0.28855652531104714,0.31090665492536707,0.5179039420034933,0.6168919071756781
1544.727,0.19581814833323957,0.3003598354695508,0.3249208323071188,0.5306851863687823,0.6255455536225528
1546.656,0.216567280115225,0.31257337188854567,0.3357504575706993,0.5399689108959308,0.6326535802647172
1548.584,0.23836208395968742,0.32393490895986415,0.347962262529893,0.5492831036311497,0.6379109670841869
1550.513,0.26018119679075913,0.3358514649133868,0.35716961488421956,0.5551496610171431,0.641226543828725
1552.441,0.28220019422389697,0.3470568984712219,0.3644852435173577,0.5590123685607513,0.6427391346873857
1554.37,0.3078708421751228,0.35776124985297725,0.3749004531718735,0.5647082059623066,0.6429284009706172
1556.298,0.33368182115442574,0.3684729395462172,0.3864235161539002,0.5702942838436917,0.6414099219242666
1558.227,0.3570730298928171,0.38092268357984643,0.39135725840718505,0.5695197704118804,0.6386869708011176
1560.155,0.37968322463483034,0.3926113147778279,0.3917941931283117,0.5641203158497164,0.6338674752965029
1562.084,0.4075068912957327,0.4046795944191795,0.3973978266655897,0.5612664516889438,0.6269924852649806
1564.012,0.43643291885133834,0.41789035060626567,0.4035913158398011,0.557804463514531,0.6191137962411458
1565.941,0.46791432360657975,0.4331798879402254,0.4131570766796444,0.556840699041922,0.6112584584242815
1567.869,0.5008406875805392,0.4503800886722348,0.42601337163693764,0.5587490707240915,0.6040553430246276
1569.798,0.534798041815431,0.47080778866649,0.4407210273113503,0.5621473329016309,0.598431832339097
1571.726,0.5705830599777604,0.49373985038814033,0.46103185975670663,0.5706492645630022,0.5951937183340595
1573.655,0.60688634848914,0.520247707243221,0.48472704399059846,0.5832471180721003,0.5953366452191841
1575.583,0.6431963581254279,0.549611967006822,0.5111684546044795,0.5996003425134087,0.5990673963340429
1577.512,0.6777104914496292,0.5827217015308825,0.5370228032226527,0.6161865145993306,0.6066330251772433
1579.44,0.7088137089735467,0.617595805520673,0.5575720757232638,0.6276179657679212,0.615746452839684
1581.369,0.7447431762302372,0.65361958503215,0.5913789358220608,0.65247478902902,0.6301384584077014
1583.297,0.7781485994003419,0.6902276013229167,0.6253207556805577,0.6788391789578259,0.6478360119253962
1585.226,0.8099402914979614,0.727386300419223,0.6598540587372793,0.7064635676228966,0.6684046441485948
1587.154,0.8395114781808739,0.7632337162297275,0.6953215491426035,0.7359340668875004,0.6910677674878896
1589.083,0.8649879159223728,0.7985687988573461,0.7262742786255824,0.7624533178527618,0.7146913562038902
1591.011,0.8886814650993039,0.8308914648125744,0.7578997146166964,0.7901665682350743,0.738929020009749
1592.94,0.9115533292104794,0.8606979347227937,0.7907648851932896,0.8193803974553632,0.7635282034145916
1594.868,0.9294623449887803,0.8879722460695724,0.818378039176305,0.8442385615843732,0.786766956385243
1596.797,0.942606771846234,0.9133208762796684,0.838899783980134,0.8629871711457854,0.8084962857260739
1598.725,0.9536958291243576,0.9334730070894465,0.8582553243869775,0.8802526757100364,0.8281864846353975
1600.654,0.9668411236680189,0.9509364193919749,0.8806724510866774,0.8995758553626352,0.8463774990620452
1602.582,0.9775082650845182,0.9650800003837903,0.9006607977732608,0.9167148056085912,0.8624657259127697
1604.511,0.9841014820285872,0.9768301394100966,0.915410954255016,0.9294239265610065,0.8769860896470206
1606.439,0.9900655025170078,0.9854375261047557,0.9304790967570886,0.9418422967374518,0.8895991321808419
