,Abs
0,0.012820329242169254
1,0.01358757495445667
2,0.014448114736784501
3,0.015420308406797315
4,0.01652468519543424
5,0.0177891005814477
6,0.019245555245042043
7,0.020937683076848058
8,0.022918081318111988
9,0.02526148722839648
10,0.02806721948636814
11,0.031487784502045896
12,0.03573993434458404
13,0.04109436665643812
14,0.047550764651045276
15,0.05403731396255893
16,0.05860087389192702
17,0.061211789297974065
18,0.06378094241731343
19,0.06737841138382616
20,0.07196523253740826
21,0.07723382895185754
22,0.0829050156841378
23,0.08877929286895354
24,0.09469561932729978
25,0.10054231898715466
26,0.10622771875885179
27,0.11170327189667383
28,0.11694033098314438
29,0.12195236459472407
30,0.12677117340251065
31,0.1314638248540933
32,0.1361068139560647
33,0.14079873152736844
34,0.14563315258972226
35,0.1507107953094766
36,0.1561124601810606
37,0.16191482244688846
38,0.1681640187280242
39,0.17489777476551482
40,0.18211902892557202
41,0.18982496336862026
42,0.19797925159019045
43,0.2065468561137295
44,0.2154635496161746
45,0.2246745934538892
46,0.2341009616008737
47,0.24368008539622535
48,0.2533292055820887
49,0.26298680207120034
50,0.2725742506191449
51,0.28203696017573565
52,0.29130582045703485
53,0.30033728833417
54,0.30907602427786063
55,0.3174932328126558
56,0.3255515289725361
57,0.3332408268872081
58,0.3405459414934669
59,0.347479284315427
60,0.35405102962753054
61,0.36029786073998205
62,0.36625480611091094
63,0.3719794140511976
64,0.37752387531673626
65,0.38295455846938503
66,0.3883232547741806
67,0.3936832268364371
68,0.3990596981439246
69,0.4044652522893392
70,0.40987174048742975
71,0.41522899310767086
72,0.4204418887657793
73,0.4253953723745593
74,0.42993996672112056
75,0.43392228912608766
76,0.43717939711653125
77,0.4395687999916372
78,0.44096846086176905
79,0.44129711552012113
80,0.44051540842676157
81,0.43862905068511615
82,0.43568890009184513
83,0.4317756350417265
84,0.427000851899914
85,0.4214784448557023
86,0.4153313418514055
87,0.4086573030476709
88,0.40154478052001386
89,0.3940387682285385
90,0.38616654647966947
91,0.3779062323531249
92,0.36922276884408906
93,0.36004101189933985
94,0.35029384186211465
95,0.3398999964292916
96,0.3288235572449446
97,0.31704981906032487
98,0.30464701549412837
99,0.29172605662441375
100,0.27848817235788975
101,0.265149514004398
102,0.25194254870433824
103,0.23896169272541318
104,0.22608027796339522
105,0.21283092147086888
106,0.19868978600920031
107,0.18352656655524133
108,0.1678818969268575
109,0.1525273803069762
110,0.13806998064516815
111,0.1247683341789097
112,0.11269036651976093
113,0.10177412009077544
114,0.09194609408945176
115,0.08310535839425637
116,0.07517454625637733
117,0.06806511243410311
118,0.06171006299770098
119,0.05603346777530416
120,0.0509763594528993
121,0.046472681733027606
122,0.04247028765260847
123,0.038912115873616204
124,0.035752961758619466
125,0.03294462731885056
126,0.030449120797238872
127,0.028226836968373133
128,0.026246869964388235
129,0.02447753347208188
130,0.022894424095077196
131,0.021472766940963128
132,0.02019377074611385
133,0.019038406896102644
134,0.017992486640882682
135,0.01704156975139549
136,0.016175089955472552
137,0.015382155328878004
138,0.014654960931882156
139,0.013985293986579283
140,0.013367405299249568
141,0.012795072575822368
142,0.012264052942342056
143,0.011769589902390468
