v08_amplitude, 1.5435871392014764
v08_center, 1693.7457115917211
v08_sigma, 0.00011991413197967672
v08_gamma, 9.5
v07_amplitude, 0.4118253799854458
v07_center, 1710.7695308849538
v07_sigma, 0.0010236748572318155
v07_gamma, 9.5
v06_amplitude, 20.741829184805926
v06_center, 1651.464781025156
v06_sigma, 16.95953137857169
v06_gamma, 9.5
v05_amplitude, 35.93730154252648
v05_center, 1606.2719771041493
v05_sigma, 31.124718134215303
v05_gamma, 8
v04_amplitude, 1.9112313926474838
v04_center, 1519.9349693197235
v04_sigma, 6.838836857738863
v04_gamma, 6.5
v03_amplitude, 1.4087382758942923
v03_center, 1631.394927839265
v03_sigma, 9.960812837902722
v03_gamma, 10
v02_amplitude, 8.840036650933717
v02_center, 1678.8511281146714
v02_sigma, 10.949042637932164
v02_gamma, 9.5
v01_amplitude, 7.268007198774544
v01_center, 1544.5475931761716
v01_sigma, 13.419994621493718
v01_gamma, 8.75
