,Abs
0,0.0413558105975845
1,0.045683866774328626
2,0.050895237627018974
3,0.05723341191231622
4,0.06498517348891611
5,0.07450386554500979
6,0.0861576018518996
7,0.10032930968944613
8,0.11730241495413525
9,0.13723465832564338
10,0.15999620304229367
11,0.18518127025417327
12,0.2119957136186024
13,0.2394177317988724
14,0.2662304778612359
15,0.2913354557533908
16,0.3138583448463928
17,0.33341579577279395
18,0.3500859391547549
19,0.36442986612545997
20,0.3772570572032487
21,0.3894691862918486
22,0.40179685240928414
23,0.4147058472209866
24,0.42828642511610626
25,0.4423324981523525
26,0.45637012584033615
27,0.46982513872580045
28,0.48207395988941787
29,0.49258451629458866
30,0.500924922331143
31,0.5068369437629305
32,0.5102107659491448
33,0.5111019815293171
34,0.5096995100855873
35,0.5063051080139972
36,0.5013100578100234
37,0.4951520406100589
38,0.48830508894103225
39,0.48122733339824475
40,0.47436375106893364
41,0.4680977458444536
42,0.46276378749064584
43,0.4586129114061366
44,0.45583049062248127
45,0.4545208630949811
46,0.45472443339308377
47,0.45642162571032774
48,0.4595437749433269
49,0.4639930292294795
50,0.469642971644663
51,0.4763695546534694
52,0.484039459479052
53,0.4925473772782749
54,0.5017919892486485
55,0.5117162331604954
56,0.5222719417202797
57,0.5334614582352657
58,0.545292283271045
59,0.5578200525555643
60,0.5710942444604175
61,0.5852038589265052
62,0.6002147288039842
63,0.6162201289285244
64,0.6332698869310002
65,0.6514285346233977
66,0.6706964608501417
67,0.6910780198912089
68,0.7124954693555505
69,0.7348686168344087
70,0.7580231548124627
71,0.7817819697050348
72,0.8058705499518373
73,0.830018128892613
74,0.8538638967959399
75,0.8770639644111629
76,0.8992029629697684
77,0.9199007760442677
78,0.9387346058335475
79,0.9553379427014204
80,0.9693381596801662
81,0.9804395714484144
82,0.9883808243982174
83,0.992994070265694
84,0.9941842696560119
85,0.991956843941619
86,0.9864167785720434
87,0.9777570526384892
88,0.9662698165692042
89,0.9522892740413617
90,0.936205446429801
91,0.9183643478976355
92,0.8990861342614004
93,0.8785472600688016
94,0.8568295048507844
95,0.8338299292426452
96,0.8093801742029135
97,0.7832153354834039
98,0.7551680449815313
99,0.7251593002412693
100,0.6933918475808662
101,0.6602406853204796
102,0.6262916768476607
103,0.591972633826419
104,0.5573492908459751
105,0.5217194775760795
106,0.4839503705307644
107,0.44317636634514496
108,0.3999086409204141
109,0.35594022928190766
110,0.3136076707482811
111,0.2746357345675262
112,0.23994929853449262
113,0.20967017052377424
114,0.18356419023042272
115,0.16115655738319312
116,0.14198193410180068
117,0.12555745663282797
118,0.11148886429972404
119,0.09940652302170946
120,0.08902111936889757
121,0.0800663223001096
122,0.07233561309479737
123,0.06563836363517456
124,0.05982701359276881
125,0.0547644744713458
126,0.05034489175493281
127,0.04646934158819501
128,0.043061865231216336
129,0.04005107027611937
130,0.0373826261386297
131,0.035005094157168744
132,0.0328797949570016
133,0.03096971187691655
134,0.02924741846155656
135,0.027686248824966536
136,0.02626678923895146
137,0.024969742868639073
138,0.023781345465342614
139,0.02268751188295553
140,0.02167842986207149
141,0.020743687770715676
142,0.01987622580281657
143,0.019068224241636372
