,Abs
0,0.023429522920356625
1,0.025159118961075547
2,0.027159649641443594
3,0.029501819602975588
4,0.032272991756586225
5,0.035591950676176015
6,0.03960011899065391
7,0.04447366876277139
8,0.050395121583749904
9,0.05754893948314034
10,0.0660559135681826
11,0.07595090195816273
12,0.08709593043133079
13,0.09918971313658466
14,0.11173250897671938
15,0.1241394597718201
16,0.13580201490480892
17,0.1462695949239454
18,0.1553110679646992
19,0.16300421894654613
20,0.16966405945430982
21,0.17577259030772327
22,0.18181482732030535
23,0.18818229281439466
24,0.19507049142194607
25,0.2024883288543941
26,0.21026252511417867
27,0.2181304146906891
28,0.225777468657521
29,0.23292851710086182
30,0.2393581239087028
31,0.24494227922958617
32,0.24963862916868124
33,0.2535043344284389
34,0.256663311181961
35,0.25930457483452124
36,0.26164829017505514
37,0.26393642450878885
38,0.2664028511610532
39,0.26926639761680893
40,0.2727066822573527
41,0.2768671922830274
42,0.28183574808334594
43,0.28766109760169206
44,0.29433475879886944
45,0.3018203904488847
46,0.3100331906796793
47,0.3188786744193271
48,0.3282269595034037
49,0.3379569258327189
50,0.3479247803173851
51,0.3580102119274535
52,0.3680805016082794
53,0.378036292253302
54,0.38777348824644664
55,0.39722703264795894
56,0.4063327745284497
57,0.4150680349423726
58,0.42341474619258396
59,0.43139573208616316
60,0.4390391550532723
61,0.4464096294957647
62,0.4535728926705747
63,0.46062152157577574
64,0.46763843789180953
65,0.4747184655093012
66,0.48193027649064296
67,0.489337103065436
68,0.4969586800436166
69,0.5047958471292102
70,0.5127954615813008
71,0.5208825823523153
72,0.5289306637670379
73,0.5368010152828144
74,0.5443181625329462
75,0.5513116102795548
76,0.557594635067401
77,0.5630015969422354
78,0.5673697614108275
79,0.5705675604289219
80,0.5724820597397813
81,0.5730366694720014
82,0.5721877482655869
83,0.5699305898571826
84,0.5663054464296812
85,0.5613883131852406
86,0.5553021040858911
87,0.5481880919010945
88,0.540217209294955
89,0.5315428205952749
90,0.5223126150774351
91,0.5126124098344619
92,0.5024875968243744
93,0.4918940923990984
94,0.48074242472209566
95,0.4688682498860569
96,0.4561062051624814
97,0.4422776621500985
98,0.42728728570132024
99,0.4111084428904556
100,0.393880771398378
101,0.3758613718128046
102,0.35748084106405204
103,0.3391939303933029
104,0.32137373327791885
105,0.3039229571236465
106,0.2860402188758876
107,0.26633299999956367
108,0.2439733598567949
109,0.21968328334360526
110,0.19543487257589337
111,0.1730398159327972
112,0.1535192739875112
113,0.13706127454588823
114,0.12335065499663783
115,0.11168075556292589
116,0.10123368302160188
117,0.09140585290276633
118,0.08211288350608345
119,0.07358008189863692
120,0.06603401335157685
121,0.05951633851991796
122,0.05395293926232537
123,0.04920394106906206
124,0.04513636861985051
125,0.04162451807246933
126,0.03857189540280832
127,0.035894885599036065
128,0.03353228524502479
129,0.03143066983453538
130,0.02955145452070153
131,0.027859802748994147
132,0.026330748844844088
133,0.024940778338270755
134,0.023673206831745373
135,0.022511593002868077
136,0.021444437255068127
137,0.020459870719156118
138,0.019549748588878937
139,0.018705260699173543
140,0.01792050186028617
141,0.017188772954345715
142,0.01650570628812871
143,0.01586610057777667
