,Abs
0,0.013031870873085195
1,0.013987915144515629
2,0.015097209488912555
3,0.01640112753171224
4,0.017951863246758917
5,0.019821772031830623
6,0.022099815043154118
7,0.024899468466033536
8,0.02834214466508152
9,0.032551343242578946
10,0.03760728860562708
11,0.04352399473363465
12,0.05018929072030042
13,0.05737006247743753
14,0.06470446249907921
15,0.07179564688616481
16,0.0782794543809457
17,0.08394987935922749
18,0.08879038970955298
19,0.09299069686894844
20,0.09685745099651015
21,0.1007303758466442
22,0.10487006591901199
23,0.10941693567482222
24,0.11436396652166168
25,0.11960424114374267
26,0.12495816803774379
27,0.13024252224026733
28,0.1352853108971191
29,0.13996951046262826
30,0.14422199619016338
31,0.14803330938987183
32,0.15143482373149023
33,0.15450602620772297
34,0.15734973200352997
35,0.16009372627987195
36,0.16286730583581968
37,0.16580236974524232
38,0.16901244194519363
39,0.17259795220343274
40,0.17662784462548284
41,0.18115222652254237
42,0.1861854685263881
43,0.19172697454878246
44,0.1977438589336347
45,0.20419848521074077
46,0.21102872923999363
47,0.21817962164703208
48,0.2255792837824799
49,0.23317063689683834
50,0.2408796661833506
51,0.24864049343335182
52,0.2563520468921375
53,0.26389849003759314
54,0.2711206623284717
55,0.27788154558689926
56,0.2840955057883959
57,0.28979545647358773
58,0.29508817800872045
59,0.30011894593574545
60,0.3049994183024493
61,0.3098123292273139
62,0.31459776121076793
63,0.31938562939217185
64,0.324184906238312
65,0.32900799346986226
66,0.33385200293710354
67,0.33871828491362155
68,0.34359122558835214
69,0.3484572498033227
70,0.3532837556764472
71,0.3580387432018402
72,0.3626708597338201
73,0.3671294756080394
74,0.3713465396417832
75,0.37525630383229375
76,0.3787797804523355
77,0.3818429043691932
78,0.3843645017123607
79,0.386271404958315
80,0.3874908874844769
81,0.3879611484581158
82,0.3876290961306485
83,0.3864547213767827
84,0.38441488637270854
85,0.3815003763218162
86,0.3777259010855304
87,0.37311893573125754
88,0.36773536119106104
89,0.36163939314458726
90,0.35492314455174473
91,0.34767700423384107
92,0.34001042837515894
93,0.3320128656517145
94,0.3237740065883456
95,0.3153385096358662
96,0.3067287803465584
97,0.29790250248973704
98,0.28878771323432517
99,0.27925445252988235
100,0.2691712017483936
101,0.2583914279788844
102,0.2468257638215447
103,0.23442439666295978
104,0.2212433121151865
105,0.20739734968273196
106,0.19310392112151517
107,0.1786028883334238
108,0.16418504312858537
109,0.15010198381895962
110,0.13660007164685245
111,0.12384634495359721
112,0.11197776466248752
113,0.10105079227318176
114,0.09109847278723415
115,0.08209607622853238
116,0.0740137984420594
117,0.06678967494960811
118,0.06037200483508705
119,0.05469658718968233
120,0.04972008934856452
121,0.0454033419692661
122,0.041738908272724064
123,0.03872950438333902
124,0.03634024505785931
125,0.034272816910332626
126,0.031893690308331515
127,0.02901822677489521
128,0.02618529195940001
129,0.0237443014112134
130,0.021710608248913157
131,0.019999343469122216
132,0.018536565140879747
133,0.017266133675861352
134,0.01615098795498445
135,0.015162203796329758
136,0.014279966744995567
137,0.013487152615820525
138,0.012771646876616652
139,0.012122156178547894
140,0.011530631677660335
141,0.010989160400419445
142,0.010492153797352724
143,0.010033874808505894
