,Abs
0,0.015564883913498353
1,0.015732700323410325
2,0.015625247771739504
3,0.015256208320494822
4,0.014656944481713964
5,0.01387170257372437
6,0.012955316590305096
7,0.011964760183628072
8,0.010957586549234784
9,0.009983483100150015
10,0.009085080018211084
11,0.008292214276729425
12,0.007625225712908951
13,0.007092582200515415
14,0.006695368973727752
15,0.006427313724770604
16,0.0062788020968821395
17,0.006237932626018683
18,0.0062930047891129135
19,0.006433747192509358
20,0.006652141995070098
21,0.006943715881691289
22,0.0073072188311396275
23,0.0077464529158973025
24,0.008269695157476062
25,0.008893211205751525
26,0.009642186810896349
27,0.010559547740101094
28,0.011715544644182542
29,0.013238923406974265
30,0.015358729054863234
31,0.018410489605887707
32,0.02249560612557765
33,0.026798286146890973
34,0.029924679980503077
35,0.031831480904152665
36,0.03399544911275308
37,0.037477396864258154
38,0.042272023168469876
39,0.047984928736477826
40,0.05422672237089211
41,0.060698880310288604
42,0.06717890831303457
43,0.07357506957069762
44,0.07991703158085157
45,0.08635424402578142
46,0.09304378559543242
47,0.10006116444969908
48,0.10728851924747412
49,0.11445691329819241
50,0.12123970554133046
51,0.12744384952016938
52,0.1330726818187755
53,0.13830619325707377
54,0.14333605319981094
55,0.14826097439009844
56,0.1530394367762266
57,0.1575821807979402
58,0.16183053954533652
59,0.1658253726024185
60,0.16966926295732104
61,0.17348194108257883
62,0.17732724088368357
63,0.1812058744791808
64,0.18505149663166107
65,0.1887773822448173
66,0.19229108507276196
67,0.19552826650216565
68,0.1984428460520146
69,0.20101466301577514
70,0.20322714516048088
71,0.20506768135672535
72,0.2065111105411753
73,0.20752396327092215
74,0.20805922800216342
75,0.2080644071597818
76,0.20748565678662276
77,0.20627508728002217
78,0.20440082214744038
79,0.20184867507331808
80,0.1986351657128963
81,0.19479990082064683
82,0.190418783129895
83,0.18558471170272986
84,0.1804180464132073
85,0.17503555669064302
86,0.16955742360883003
87,0.16407013956850608
88,0.15863601303195937
89,0.1532629948435354
90,0.14792803469733887
91,0.142565252252455
92,0.1371071157715992
93,0.13148525340834308
94,0.12567477785995423
95,0.11968456270018814
96,0.11358281761415522
97,0.10746095327822204
98,0.10143743982616102
99,0.09560774834045307
100,0.09004750822444905
101,0.08477594327329595
102,0.07977813238079447
103,0.07499342020730548
104,0.07035410595924498
105,0.06578578197802704
106,0.06124481938613258
107,0.056711740067109974
108,0.052215579236046354
109,0.04781445532542968
110,0.04360949735723599
111,0.03972093549413457
112,0.03629775936434369
113,0.033480498998581035
114,0.031338049881724
115,0.029676236110999295
116,0.027925026284449084
117,0.025526412033076137
118,0.022612532948775035
119,0.0198446540121984
120,0.017749365543735404
121,0.01652370028657225
122,0.016154974260314994
123,0.01621693449808579
124,0.01558304600745486
125,0.013718632265366505
126,0.01156267907611124
127,0.009819220217124487
128,0.008540942755687978
129,0.007597266060520205
130,0.00687668399104035
131,0.006304926577057588
132,0.005836837543968091
133,0.005443030175186755
134,0.005105089142878459
135,0.004809938499483419
136,0.004548990025508328
137,0.004315546757104045
138,0.004105080388707568
139,0.003913736403037892
140,0.003738883619262654
141,0.0035780926759036284
142,0.0034297163430984635
143,0.003292113001248678
