Wn,Alginate,A,B,C,D,E
1486.872,0.01795821630545729,0.02165149013373674,0.02151475449402121,0.012889799385572743,0.0132860509691961,0.02138537121539771
1488.801,0.015100233280219361,0.029019428581479424,0.03468827190626741,0.009376757799181599,0.01069949324125777,0.016905093437345746
1490.729,0.013955379234993442,0.03712650910871383,0.04648377428525349,0.008751111669944264,0.01166811517853034,0.014995772244487005
1492.658,0.013791661505558061,0.046332834652846454,0.05807511645396774,0.010150911930633182,0.015200019311134388,0.014805013543623376
1494.586,0.014019582423975373,0.05695135211594982,0.07044604579840083,0.012870955867303873,0.020484168823375143,0.015650058274728346
1496.515,0.014192139318591025,0.06924785236462759,0.08439020226738506,0.016362787119265323,0.026890387553679125,0.017017782410945762
1498.443,0.014004824514032647,0.08344097023017778,0.10051111837278771,0.02023469567911514,0.03396935999466803,0.01856469695859244
1500.372,0.013295625331209655,0.09970218450847712,0.11922221918937778,0.024251717892711022,0.041452631293102817,0.02011694795715091
1502.3,0.011610616232657063,0.1169906476258103,0.13942558116975273,0.02795576025722416,0.04877095436729202,0.021032104242668527
1504.229,0.00977054357161174,0.13724917518281637,0.1637835826763754,0.03146336056625613,0.055965875581711386,0.02218721417892265
1506.157,0.008947522347056468,0.16119031965020478,0.19108044303210536,0.03731932743446351,0.0664786369097823,0.025896072803754354
1508.086,0.008017029101315815,0.18817213283772694,0.22173187106118403,0.04395477082338023,0.07818860801851768,0.030480550256029068
1510.014,0.007556603742373186,0.2175249938617986,0.25473645499103276,0.051491297701960564,0.0912065170790355,0.03619822886364766
1511.943,0.007305757391923274,0.2461400285938427,0.2863375228332858,0.059143404725003706,0.10426756097130788,0.0421819485216294
1513.871,0.0072601572550450855,0.27259471549286796,0.31514871372999514,0.06661070497638485,0.11676965992377822,0.04817852674855319
1515.8,0.007251723436002409,0.2947521673053499,0.3385358379551989,0.07358598543625199,0.1283596470056268,0.05384153405721281
1517.728,0.006879877560605828,0.31266040887661367,0.35680793019700346,0.07968986443937223,0.1386280608450754,0.05861656712943176
1519.657,0.005240856859803685,0.32779889152700425,0.37336206077036427,0.08339748260366597,0.1454683708930248,0.06108518267485576
1521.585,0.0038551632999054486,0.34339332173538606,0.3919247692019485,0.08616026135923438,0.15065560879429432,0.06334215483517051
1523.514,0.003920923100438489,0.35760903862648075,0.4070548006659479,0.09038396477942648,0.15769678675124424,0.06743417245023739
1525.442,0.004314064730659805,0.3731265962024737,0.4233843824214068,0.09500075478747402,0.1652630188947359,0.07210954015776702
1527.371,0.0050522181899457135,0.389266825715305,0.4406102521270701,0.09973899768423926,0.17276846420667816,0.07737417201844335
1529.299,0.0069121243123884575,0.40589639261067334,0.45666695125643714,0.1062784767477564,0.18278979279160465,0.08446175389395505
1531.228,0.008338740634319426,0.4216917229009688,0.4713997977262235,0.1124317773575446,0.19238512934387852,0.09097608393848054
1533.156,0.00940367298173392,0.4362488999890191,0.48422889011422293,0.11854987021724207,0.20193803512844424,0.09719339679900654
1535.085,0.00912519481186419,0.4490897743409583,0.496328843011393,0.12291806959618558,0.20894568633203262,0.1014657715217539
1537.013,0.008992245711403267,0.4608450468761741,0.5080854089115823,0.12654531550739168,0.21458020418348084,0.10537299260429715
1538.942,0.009286153950743961,0.47117167766208656,0.5181391006375167,0.1299619057544537,0.21979192339516762,0.10936413839308741
1540.87,0.010260376012885708,0.48065592522091527,0.5275471246016316,0.1331745679097197,0.22440059009583677,0.11358676673575076
1542.799,0.012297880452354411,0.48884714535380047,0.5349913492821785,0.13683531417271833,0.22934879630333097,0.11863470214460256
1544.727,0.015176594102139063,0.4957056253244018,0.5403561957982587,0.14088221429525452,0.23464745541689636,0.12420557425101497
1546.656,0.018658169222107127,0.49983068597685143,0.5437376447709892,0.1444065451536126,0.2386808824435892,0.12999727706992104
1548.584,0.023106421542839532,0.5052031889451879,0.5459000582575176,0.1504583520367642,0.2466545753842562,0.13807226686906535
1550.513,0.027001932311418782,0.5084275524548384,0.5445486542574511,0.15638982130287604,0.25465667695132244,0.14528869049509605
1552.441,0.029733669814456812,0.50909852518191,0.5413320560558776,0.1604725945915336,0.25999211686490575,0.15031825446940295
1554.37,0.03148464064662271,0.5071241522300233,0.5372086523577758,0.16225739947383291,0.26181774258169516,0.15334196674205447
1556.298,0.03427413388172581,0.5026713790191872,0.5307374853086327,0.1639338550532578,0.262905557585089,0.15682683845401835
1558.227,0.037971418057774556,0.49690963220012263,0.5227247911810918,0.16584148888875022,0.26398658078760123,0.16102009106887882
1560.155,0.042688938532811235,0.49080972948810736,0.5136181576672834,0.1687814052321115,0.26637854356887,0.16661565739900555
1562.084,0.04788378026180519,0.4837035063696935,0.5032657016980515,0.17195400517146744,0.2688311333114456,0.17268825597334891
1564.012,0.05399528356559457,0.4765261625407809,0.49276934317624727,0.17569461227178768,0.2716620288420013,0.17976833482373358
1565.941,0.06071666258646078,0.4705572860265246,0.48206825855763913,0.18104676351998528,0.277006528756179,0.18853889383134634
1567.869,0.06736960962362716,0.4655802825932099,0.4716335974655928,0.18705391041695005,0.2835549542567578,0.1978499688680221
1569.798,0.07367256271123258,0.46164244160627355,0.4617651606395614,0.1931665715777422,0.2905373442613455,0.20702117957655558
1571.726,0.07969830242245407,0.4583604175984072,0.45266021447762644,0.19875118157674945,0.29677778711128644,0.21537668445698385
1573.655,0.08601951941632485,0.4539793480491858,0.44416265957691015,0.2032934395085201,0.3010396819973815,0.22333739576978134
1575.583,0.09320427027411166,0.45308858243332034,0.43789332022335953,0.21010372049913714,0.3089760514663683,0.23344934758198096
1577.512,0.10033344389712431,0.453864983843045,0.4332815538148486,0.21728760208847386,0.31761833841781256,0.24360838817007416
1579.44,0.10755276368247312,0.45647723369214654,0.43051750030389396,0.22502388564298523,0.32714238585362015,0.2540265053204898
1581.369,0.11439656454082381,0.46086795853815715,0.4296187031836812,0.23300601970151325,0.3373555461787409,0.26423240649910923
1583.297,0.12099766413526468,0.46645583377729727,0.43037235009326424,0.2407873489759547,0.3473919300502885,0.2739859040318407
1585.226,0.12737084555021694,0.47365276307040055,0.43282099842871363,0.24884787394100844,0.3579961961365232,0.28374312024578213
1587.154,0.13324147983870385,0.4827198280861636,0.43719128210540964,0.2571632516572415,0.36927402064546744,0.29331156634982675
1589.083,0.13831764330951032,0.49214987343238625,0.44297287913743244,0.2644049814294509,0.3792280520396451,0.30155328728015796
1591.011,0.14339025833910818,0.5022315841189987,0.45043218691368436,0.2710769761694533,0.38838598404667973,0.30938975053678486
1592.94,0.1483222249134396,0.5129710570743358,0.458957754017407,0.2776713900118007,0.3976112030319836,0.31723222337851076
1594.868,0.1530625003044744,0.5243383499018669,0.46885284877445893,0.28394687695622767,0.4065264945808215,0.3248388920116046
1596.797,0.15749553345639308,0.5357271038352432,0.4795317559953896,0.28965287180873056,0.41479589128609207,0.33207512147655105
1598.725,0.16183310492570177,0.5475558085297666,0.4910575679226368,0.29524874722168043,0.4230092695006447,0.3394561587101331
1600.654,0.16585808937636945,0.5593069389057024,0.5030443292549082,0.30043230197616105,0.43073346776374277,0.3465035691647001
1602.582,0.16966244776135625,0.5721229870314158,0.5170468777050943,0.3051777253878568,0.43797006067411276,0.3528994606071194
