,Abs
0,0.051967598109151386
1,0.05662536495444215
2,0.062179987102450415
3,0.06891526882216402
4,0.07719708910380302
5,0.08751529733934658
6,0.10043829517604265
7,0.11660285082401092
8,0.1365403879380035
9,0.16056003705029237
10,0.18844737040408405
11,0.21939149001333674
12,0.2518502080256954
13,0.2838855172799692
14,0.3134707246197205
15,0.3391579513212252
16,0.3603903070683946
17,0.37773396733341363
18,0.3925363613492735
19,0.40646762355812865
20,0.4208655154644131
21,0.4363861818233035
22,0.4528468160705661
23,0.46949237651912856
24,0.4852979718541116
25,0.49940109224465934
26,0.5112706064118219
27,0.5208151857067984
28,0.5282337932927357
29,0.5338788806099029
30,0.5380528621137803
31,0.5409216553729842
32,0.5424676572682998
33,0.542541405216045
34,0.5409345813779505
35,0.5374661171682441
36,0.5320587583326836
37,0.5247651886348378
38,0.5158006953234296
39,0.5054986538285225
40,0.4943150029058944
41,0.48274564764836336
42,0.47132854548885095
43,0.46055686481211755
44,0.45089155932545855
45,0.44269283627346656
46,0.43624403543736795
47,0.4317125331941813
48,0.4291791029528165
49,0.42862973593013015
50,0.4299822385724545
51,0.4331035097237194
52,0.43782570361643636
53,0.44398010065309845
54,0.45139747250016976
55,0.45994966025435347
56,0.46953144852323453
57,0.4801033453368749
58,0.49165436427219833
59,0.5042431622713452
60,0.5179424785159396
61,0.5328798228606308
62,0.5491653412507029
63,0.5669368992357326
64,0.5862742914775315
65,0.6072559876578404
66,0.6298638573447963
67,0.6540590095563877
68,0.679681827697426
69,0.7065512144325807
70,0.7343635343046434
71,0.7628128725740715
72,0.7914890594692215
73,0.8200083409012662
74,0.8479077393285286
75,0.8747718142169794
76,0.9001245018026292
77,0.9235446775600213
78,0.9445693543484672
79,0.9628031444342489
80,0.9778542640179224
81,0.9894399705422897
82,0.997359261509754
83,1.0015700458647727
84,1.0021709410384207
85,0.999410374334408
86,0.9936490840123542
87,0.9852938431032181
88,0.9747544786710478
89,0.9623483828509791
90,0.9482993811965981
91,0.9326695315074548
92,0.915429628181629
93,0.8964330166905603
94,0.8755445707448499
95,0.8526264337062306
96,0.8276849956765969
97,0.8008165759417333
98,0.7723158674837103
99,0.742519937969408
100,0.711824617146432
101,0.6804214729334129
102,0.6482923379008821
103,0.6150246522045835
104,0.5800312306558135
105,0.542645307000859
106,0.5025793012101696
107,0.4600272320926624
108,0.41590862715124927
109,0.37154642073181776
110,0.3285357127006449
111,0.2882220001186448
112,0.25163217746466887
113,0.2192233972358074
114,0.19108767960034206
115,0.1669481692937851
116,0.14641710820808818
117,0.1290046380263507
118,0.11427242710730975
119,0.10179222221475498
120,0.0912175320910977
121,0.08222959970817292
122,0.07457667548720534
123,0.0680301182717847
124,0.062411197488887
125,0.0575586853414551
126,0.053348320016559786
127,0.04966859481252664
128,0.0464351056400564
129,0.043572053930856294
130,0.041023172224536296
131,0.03873738650703459
132,0.036677526159850274
133,0.03480907743007501
134,0.03310742373280573
135,0.031548897498121925
136,0.030116975712606485
137,0.02879503509222291
138,0.027571743189632146
139,0.026435079258557606
140,0.02537706780817996
141,0.02438875093559315
142,0.023464366754534977
143,0.022597050762226338
