Wavenumber,CoHA01,CoHA025,CoHA05,CoHA100
1334.521,0.919873,0.9962879,1.188201,0.9330736
1336.449,0.9310327,1.007999,1.195265,0.9420603
1338.378,0.9419166,1.018349,1.200982,0.9511133
1340.306,0.95699,1.029553,1.205321,0.962403
1342.235,0.9653659,1.039987,1.212271,0.9698799
1344.163,0.9706374,1.048259,1.218344,0.9756778
1346.092,0.9756819,1.055019,1.222921,0.981459
1348.02,0.9799631,1.060564,1.22703,0.9865048
1349.949,0.9834001,1.064686,1.230254,0.9909421
1351.877,0.9857749,1.068155,1.23352,0.9945914
1353.806,0.9865535,1.070266,1.236254,0.9970183
1355.734,0.9876865,1.071663,1.23799,0.9992337
1357.663,0.9865866,1.072349,1.240079,1.00019
1359.591,0.9842278,1.072238,1.242138,1.000421
1361.52,0.9818567,1.069972,1.24183,1.000203
1363.448,0.9843255,1.0674,1.238981,1.002154
1365.377,0.9815977,1.067578,1.241768,1.001773
1367.305,0.977941,1.066532,1.243767,1.00067
1369.234,0.9766232,1.064036,1.242916,1.000492
1371.162,0.9738377,1.062933,1.24428,0.9996765
1373.091,0.9706471,1.060395,1.244424,0.9982549
1375.019,0.9739978,1.057478,1.2409,0.9997457
1376.948,0.9730828,1.057958,1.243025,0.9997754
1378.876,0.9736492,1.058457,1.244424,1.000045
1380.805,0.9791477,1.060425,1.246245,1.001649
1382.733,0.9903707,1.064508,1.249443,1.004649
1384.662,0.9930786,1.066492,1.252641,1.005429
1386.59,0.9849806,1.062925,1.250586,1.004716
1388.519,0.9789911,1.060612,1.247791,1.00592
1390.447,0.9758857,1.063005,1.251437,1.006675
1392.376,0.9727332,1.064929,1.255347,1.006515
1394.304,0.9745621,1.065124,1.255004,1.008275
1396.233,0.9796825,1.066704,1.254941,1.011639
1398.161,0.9807507,1.069144,1.257732,1.012798
1400.09,0.9855455,1.070998,1.25755,1.015707
1402.018,0.9834636,1.073699,1.262163,1.015678
1403.947,0.9816399,1.073235,1.2634320000000001,1.015002
1405.875,0.9840329,1.07207,1.26215,1.016197
1407.804,0.9816607,1.072132,1.264139,1.015408
1409.732,0.9782251,1.070656,1.26487,1.013605
1411.661,0.9750359,1.067304,1.263443,1.011473
1413.589,0.96999,1.064538,1.263613,1.008578
1415.518,0.9621954,1.060972,1.264183,1.004187
1417.446,0.9547149,1.054806,1.261769,0.9992143
1419.375,0.9547009,1.044921,1.251422,0.9966847
1421.303,0.948871,1.043367,1.253551,0.993633
1423.232,0.9398133,1.03903,1.25422,0.988364
1425.16,0.9357755,1.031996,1.249703,0.9847661
1427.089,0.9266164,1.027907,1.250753,0.9792939
1429.017,0.9194121,1.020311,1.24683,0.973916
1430.946,0.9135411,1.011641,1.24142,0.9689399
1432.874,0.9054859,1.005954,1.24035,0.9636329
1434.803,0.8943083,0.999539,1.239952,0.9565336
1436.731,0.8915502,0.9858393,1.227627,0.951453
1438.66,0.8861846,0.9801774,1.224363,0.9476884
